country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1952	8425333	Asia	28.801	779.4453145
Afghanistan	1957	9240934	Asia	30.332	820.8530296
Afghanistan	1962	10267083	Asia	31.997	853.10071
Afghanistan	1967	11537966	Asia	34.02	836.1971382
Afghanistan	1972	13079460	Asia	36.088	739.9811058
Afghanistan	1977	14880372	Asia	38.438	786.11336
Afghanistan	1982	12881816	Asia	39.854	978.0114388
Afghanistan	1987	13867957	Asia	40.822	852.3959448
Afghanistan	1992	16317921	Asia	41.674	649.3413952
Myanmar	1992	40546538	Asia	59.32	347
Mozambique	1992	13160731	Africa	44.284	410.8968239
Ethiopia	1992	52088559	Africa	48.091	421.3534653
"Congo,-Dem.-Rep."	1992	41672143	Africa	45.548	457.7191807
Malawi	1992	10014249	Africa	49.42	563.2000145
Niger	1992	8392818	Africa	47.391	581.182725
Eritrea	1992	3668440	Africa	49.991	582.8585102
Burundi	1992	5809236	Africa	44.736	631.6998778
Liberia	1992	1912974	Africa	40.802	636.6229191
Uganda	1992	18252190	Africa	48.825	644.1707969
