country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1952	8425333	Asia	28.801	779.4453145
Afghanistan	1957	9240934	Asia	30.332	820.8530296
Afghanistan	1962	10267083	Asia	31.997	853.10071
Afghanistan	1967	11537966	Asia	34.02	836.1971382
Afghanistan	1972	13079460	Asia	36.088	739.9811058
Afghanistan	1977	14880372	Asia	38.438	786.11336
Afghanistan	1982	12881816	Asia	39.854	978.0114388
Afghanistan	1987	13867957	Asia	40.822	852.3959448
Afghanistan	1992	16317921	Asia	41.674	649.3413952
Kuwait	1957	212846	Asia	58.033	113523.1329
Switzerland	1957	5126000	Europe	70.56	17909.48973
United-States	1957	171984000	Americas	69.49	14847.12712
Canada	1957	17010154	Americas	69.96	12489.95006
New-Zealand	1957	2229407	Oceania	70.26	12247.39532
Norway	1957	3491938	Europe	73.44	11653.97304
Bahrain	1957	138655	Asia	53.832	11635.79945
United-Kingdom	1957	51430000	Europe	70.42	11283.17795
Netherlands	1957	11026383	Europe	72.99	11276.19344
Denmark	1957	4487831	Europe	71.81	11099.65935
